Year,Cololabis saira,Engraulis mordax,Icichthys lockingtoni,Leuroglossus stilbius,Merluccius productus,Sardinops sagax,Scomber japonicus,Tetragonurus cuvieri,Trachipterus altivelis,Trachurus symmetricus,Argentina sialis,Chromis punctipinnis,Hippoglossina stomata,Hypsoblennius spp.,Lyopsetta exilis,Microstomus pacificus,Ophidion scrippsae,Oxylebius pictus,Paralabrax spp.,Paralichthys californicus,Parophrys vetulus,Pleuronichthys verticalis,Scorpaenichthys marmoratus,Sebastes aurora,Sebastes jordani,Sebastes paucispinis,Sphyraena argentea,Symphurus atricaudus,Zaniolepis spp.
1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,32.95647871,33.34079361,33.41824231,33.80748994,33.33766661,33.49,33.13463303,32.66562076,33.44200351,32.46745275,33.98097554,34.0054909,34.24424632,33.82873317,33.88357209,33.17515723,33.44460697,34.18695402,33.55611506,33.88040307,34.27346294,33.83042114,34.8608094,33.34137956,33.72800086,33.90749161,33.42590877,33.42828404,33.74989427
1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,33.82996,33.108625,33.69421649,33.60135075,33.35136063,NA,32.85,31.58929556,32.8519464,31.83181761,33.43068282,32.13149506,34.45,33.84208992,33.92364919,33.16,NA,NA,33.42,33.12138531,34.07835449,33.69079396,NA,34.19683739,33.90918858,33.77607103,NA,NA,33.9510408
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,30.85,32.87068798,32.64598978,33.45425009,32.57070503,32.96,NA,32.2790589,33.32127783,32.45034395,33.52339267,34.0749233,34.04936821,33.69237735,33.69150592,32.58,NA,33.42,34.01733205,33.38669179,33.70370922,33.50579005,34.26336305,33.44501248,33.91729673,33.81815326,NA,33.45406417,34.13030876
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,33.49232842,33.33511081,33.71038169,33.48689971,33.89,33.23419062,33.6328238,32.49554507,32.58999186,33.23975344,NA,34.03246767,33.46776618,34.05160939,33.44967776,NA,NA,33.41889084,33.32236019,34.51577942,34.03751308,32.91,32.83592861,33.69115914,33.97015133,NA,NA,32.91
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,32.13290269,33.23807268,33.12740725,33.36755004,33.13939011,34.17736219,33.51093727,32.91,33.15,32.53148695,34.06772393,33.85568261,34.23,33.05064153,33.7952956,33.02135975,32.96,33.66,33.89644922,33.88814686,33.88340921,33.38473537,NA,33.67334965,34.265026,33.47389771,33.89502541,34.01536244,34.28
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,33.341827,33.17385535,33.4502354,33.77954426,34.17972934,33.74450794,32.18457283,31.87494562,32.14269334,34.1279922,33.73920969,33.88,33.86753948,33.85361738,33.48,33.89,34.117731,34.23,34.41009787,NA,33.99761158,33.42,33.47265235,33.31438325,33.55604852,34.23,NA,33.32
1985,33.82,33.54789976,34.35306031,33.82178375,33.89505822,34.18777077,33.55704612,32.1225105,33.40518797,33.24662683,33.82098708,34.112332,34.1779249,33.6154717,34.28666108,33.82,34.45,34.31290976,33.98385487,34.11010689,34.24956794,34.03031494,34.45,NA,34.12345188,33.91652514,34.23,32.65,33.88696701
1986,32.78290535,33.0421087,34.09230274,33.63538468,34.28200067,33.53485779,32.80506379,32.06061368,34.39,31.82254766,33.95632547,32.68,33.29730252,33.95390751,34.04641961,32.90051234,NA,33.48200528,NA,33.6975008,33.51556296,33.78692515,NA,34.89,33.89801667,33.4526235,NA,31.42,33.57588749
1987,34.06,33.22652719,33.02888523,33.30490436,33.35955397,33.9786906,33.64607767,32.2809389,31.85718,32.98757917,33.72091044,33.62832141,33.10657528,33.60210614,34.32773633,32.8337823,33.89,NA,34.23,33.35318648,33.33440629,34.06847121,34.72,34.89,33.63708258,33.43493593,NA,33.94684595,33.78421038
1988,33.30164579,33.27265081,33.42321146,33.45568799,33.99758427,33.67637203,32.65569723,31.76421378,33.64971653,32.61522075,33.94007943,33.07727749,33.80186829,33.6263309,33.87686315,33.92014495,32.96,NA,33.71564039,33.82181237,34.54576097,33.91934423,33.72933124,34.4781681,33.69850432,33.49655123,34.07986859,33.16218951,33.77187867
1989,NA,33.43534624,33.73469245,33.26910146,33.77321322,33.93943656,33.26513191,32.71116138,31.18,32.54600191,33.8756019,33.89337711,32.81368141,33.80725785,34.1069468,33.86327002,35.09,33.77668329,33.815785,34.08530431,34.69879944,34.14927622,34.58646608,32.57058588,34.02062216,33.17455107,33.57617865,32.72577195,34.34153242
1990,33.14651621,33.06522724,32.27368433,33.30777893,33.73287006,34.13119168,34.23758734,32.40168461,33.16,31.80716928,34.06433888,33.9052788,34.45185784,33.52662659,32.51,33.16,34.18,33.49,34.33984817,33.51873744,34.17279567,33.90019584,34.0229189,33.84701343,34.43893964,34.18194205,34.10824922,33.49245492,33.81720199
1991,32.5955588,33.72564869,32.01,33.72527386,34.06095578,33.62660518,32.70968277,31.68632334,33.49,32.25400466,34.20454448,33.50999437,34.39896936,33.53913885,34.00798685,32.99096958,32.96,34.52050469,34.402788,33.85188084,34.21518579,34.4270651,34.83705578,33.80072088,34.07449293,33.95467092,34.30719822,33.3166523,34.06011224
1992,31.94420008,33.60880694,33.34978513,33.47941145,33.50959811,33.2452565,33.07613979,32.36456386,33.25772951,32.72574639,34.05347126,32.88002777,33.75,33.73177644,34.59699935,33.6610703,33.89,33.32,33.38215971,33.62757761,34.03171545,34.0014952,33.89,34.42800787,33.60290211,33.34345814,33.70526876,33.75,33.60173913
1993,34.89,33.75963422,32.65,33.44360995,33.87347391,32.99216785,33.44949061,31.74298864,33.30962871,32.32280063,34.15082315,33.61081631,33.93972583,33.88394422,33.86961314,33.37056277,33.6650019,NA,33.90583281,34.18548843,32.99,34.05950033,33.21994054,33.90417619,34.18983882,34.2804212,34.01761185,33.25093174,33.86938176
1994,NA,33.48977157,32.97908197,33.40953248,33.53724447,33.15746205,33.44678053,32.38704724,34.67075886,32.65711381,33.91930346,33.75922733,33.46816686,33.41567869,33.41368911,32.35037815,NA,33.16695394,33.49,34.32276429,34.45981518,33.89,34.29903017,32.73739366,33.70440696,33.37634493,33.60963786,33.49,33.66
1995,31.32847906,33.97230679,32.97823951,33.19302024,32.89356825,32.6373134,32.54463267,32.60232513,33.27989293,32.54846498,33.90059126,33.89484709,NA,33.15576005,33.65086302,33.72,NA,NA,34.23,34.02856706,34.06158879,33.97737991,32.92,33.38085836,34.32368319,32.36119403,NA,NA,33.71174654
1996,33.22601868,33.80321903,33.42044825,33.5351383,33.91761452,32.75402685,32.7776092,32.84812411,34.15,33.18124686,34.20699087,33.27459615,34.20181698,33.91006775,34.0280631,32.6704781,34.45,33.48113744,33.53069687,34.01434236,34.34426538,34.09545194,35.02,34.20034137,33.56116322,33.12083217,33.73455669,33.88,33.81494627
1997,32.94832669,34.07468905,33.51867147,33.74864817,34.19272699,33.01758313,33.55837718,32.45807308,34.39,32.87752359,34.22135893,33.90701964,34.17786681,33.93836617,34.34948576,34.00911545,33.86807121,34.09735753,33.81036141,33.95811258,33.32269884,34.4021401,34.45,33.92155546,33.84393196,33.87001507,33.87092232,33.98237829,33.24688208
1998,NA,33.62946525,34.06,33.3014481,33.97490145,33.91308899,33.98166376,32.62236988,33.15126143,33.02145705,34.04022419,33.53641373,NA,34.00679273,33.73688576,33.84565578,33.83123824,33.88,34.06276483,33.84264418,34.30782934,34.25469388,NA,34.14520297,33.26364545,33.5375743,33.78551453,33.30400367,33.00185722
1999,33.1132932,33.16149136,33.25,33.31285335,32.91903212,32.94792486,NA,32.3112691,33.36937363,32.28595269,33.82958098,32.9572116,NA,34.137897,33.74331196,32.42,NA,33.41667686,33.25,NA,34.23,33.89,35.09,33.61842486,33.09695289,33.20114389,NA,NA,33.98584948
2000,33.1857128,33.06926541,32.68453338,33.35502493,32.7402192,32.75647867,NA,32.39621276,33.43509709,32.29892736,34.09233956,NA,NA,33.57649185,34.22085908,34.15,34.41942314,33.94645961,34.06193381,33.65844218,33.73194259,NA,34.59682864,32.97521864,33.72208778,34.27337141,32.96,33.58,33.83373979
2001,33.39590129,33.68297812,33.67363432,33.93063749,33.64090901,32.56860031,32.64373849,32.28468463,32.09,31.90903985,34.04674942,NA,NA,33.2391442,33.69767389,33.09118988,NA,33.41964194,33.58,33.48129972,34.18,33.85475325,33.88,33.96225473,33.98748196,33.60166292,NA,33.66,33.89
2002,NA,33.03370869,32.90022716,33.01875442,32.72205233,32.6094697,NA,31.18,31.83463247,32.12346563,33.82645436,NA,NA,NA,33.12544883,32.99,NA,33.5193052,NA,NA,33.73954193,33.79230576,35.09,34.04713068,33.26963364,33.17444171,NA,NA,33.24771892
